coral.species,sample.date,treatment,tank,plug.id,ploidy,genotype,FvFm.1,FvFm.2,FvFm.3,FvFm.4,FvFm.5,FvFm.mean
Pocillopora acuta,7/16/25,heated,7,10,Triploid,20,0.404,0.44,0.366,0.298,0.44,0.3896
Pocillopora acuta,7/16/25,heated,7,34,Diploid,14,0.412,0.514,0.401,0.497,0.452,0.4552
Pocillopora acuta,7/16/25,heated,7,42,Diploid,6,0.486,0.451,0.462,0.396,0.478,0.4546
Pocillopora acuta,7/16/25,heated,7,45,Diploid,8,0.441,0.371,0.375,0.444,0.381,0.4024
Pocillopora acuta,7/16/25,heated,7,46,Diploid,13,0.383,0.202,0.303,0.338,0.286,0.3024
Pocillopora acuta,7/16/25,heated,7,48,Triploid,30,0.278,0.313,0.292,0.309,0.353,0.309
Pocillopora acuta,7/16/25,heated,7,52,Triploid,21,0.48,0.488,0.422,0.416,0.433,0.4478
Pocillopora acuta,7/16/25,heated,7,62,Triploid,24,0.37,0.305,0.417,0.541,0.381,0.4028
Pocillopora acuta,7/16/25,heated,7,63,Diploid,14,0.34,0.369,0.292,0.259,0.269,0.3058
Pocillopora acuta,7/16/25,heated,7,64,Triploid,19,0.383,0.355,0.356,0.371,0.401,0.3732
Pocillopora acuta,7/16/25,heated,7,69,Diploid,15,0.445,0.37,0.378,0.373,0.405,0.3942
Pocillopora acuta,7/16/25,heated,7,71,Diploid,11,0.454,0.275,0.373,0.32,0.264,0.3372
Pocillopora acuta,7/16/25,heated,7,J4-2,Triploid,23,0.408,0.433,0.396,0.421,0.4,0.4116
Pocillopora acuta,7/16/25,ambient,8,1,Diploid,11,0.621,0.606,0.625,0.604,0.623,0.6158
Pocillopora acuta,7/16/25,ambient,8,8,Diploid,6,0.627,0.597,0.615,0.587,0.599,0.605
Pocillopora acuta,7/16/25,ambient,8,16,Triploid,24,0.631,0.636,0.65,0.639,0.628,0.6368
Pocillopora acuta,7/16/25,ambient,8,18,Diploid,13,0.56,0.621,0.609,0.574,0.629,0.5986
Pocillopora acuta,7/16/25,ambient,8,19,Diploid,15,0.626,0.621,0.607,0.641,0.58,0.615
Pocillopora acuta,7/16/25,ambient,8,22,Triploid,20,0.613,0.603,0.606,0.624,0.615,0.6122
Pocillopora acuta,7/16/25,ambient,8,24,Triploid,30,0.638,0.639,0.664,0.669,0.63,0.648
Pocillopora acuta,7/16/25,ambient,8,29,Triploid,23,0.636,0.657,0.637,0.63,0.62,0.636
Pocillopora acuta,7/16/25,ambient,8,31,Diploid,8,0.605,0.555,0.623,0.626,0.605,0.6028
Pocillopora acuta,7/16/25,ambient,8,33,Triploid,19,0.611,0.592,0.612,0.619,0.637,0.6142
Pocillopora acuta,7/16/25,ambient,8,52,Diploid,14,0.644,0.615,0.6,0.606,0.657,0.6244
Pocillopora acuta,7/16/25,ambient,8,53,Triploid,21,0.62,0.616,0.614,0.612,0.631,0.6186
Pocillopora acuta,7/16/25,heated,9,2,Diploid,13,0.226,0.215,0.217,0.319,0.303,0.256
Pocillopora acuta,7/16/25,heated,9,4,Triploid,20,0.39,0.364,0.399,0.361,0.357,0.3742
