coral.species,date,time.point,treatment,tank,ploidy,genotype,plug.ID,surface.area.cm2,volume.cm3
Pocillopora acuta,6/10/25,T0,ambient,8,diploid,11,1,13.21,1.75
Pocillopora acuta,6/10/25,T0,heated,9,diploid,13,2,12.54,1.36
Pocillopora acuta,6/10/25,T0,heated,11,diploid,15,3,12.71,1.57
Pocillopora acuta,6/10/25,T0,heated,9,triploid,20,4,12.01,1.48
Pocillopora acuta,6/10/25,T0,heated,11,diploid,13,5,16.11,1.75
Pocillopora acuta,6/10/25,T0,ambient,12,diploid,6,6,14.49,1.66
Pocillopora acuta,6/10/25,T0,heated,7,triploid,23,7,11.59,1.11
Pocillopora acuta,6/10/25,T0,ambient,8,diploid,6,8,9.31,1.09
Pocillopora acuta,6/10/25,T0,ambient,12,triploid,21,9,25.55,3.28
Pocillopora acuta,6/10/25,T0,heated,7,triploid,20,10,24.85,3.20
Pocillopora acuta,6/10/25,T0,heated,11,diploid,8,11,14.57,1.73
Pocillopora acuta,6/10/25,T0,ambient,12,diploid,13,12,11.19,1.34
Pocillopora acuta,6/10/25,T0,ambient,12,triploid,19,13,17.59,2.18
Pocillopora acuta,6/10/25,T0,ambient,10,diploid,8,14,10.51,0.98
Pocillopora acuta,6/10/25,T0,heated,11,triploid,23,15,24.20,2.57
Pocillopora acuta,6/10/25,T0,ambient,8,triploid,24,16,11.73,1.29
Pocillopora acuta,6/10/25,T0,heated,9,triploid,21,17,15.33,1.75
Pocillopora acuta,6/10/25,T0,ambient,8,diploid,13,18,12.82,1.65
Pocillopora acuta,6/10/25,T0,ambient,8,diploid,15,19,7.12,0.76
Pocillopora acuta,6/10/25,T0,heated,9,triploid,23,20,13.21,1.59
Pocillopora acuta,6/10/25,T0,heated,9,diploid,14,21,18.71,1.61
Pocillopora acuta,6/10/25,T0,ambient,8,triploid,20,22,17.28,2.39
Pocillopora acuta,6/10/25,T0,heated,9,diploid,6,23,7.54,0.93
Pocillopora acuta,6/10/25,T0,ambient,8,triploid,30,24,13.22,1.51
Pocillopora acuta,6/10/25,T0,heated,11,triploid,21,25,39.45,5.05
Pocillopora acuta,6/10/25,T0,ambient,10,diploid,6,26,8.83,0.96
Pocillopora acuta,6/10/25,T0,ambient,10,triploid,21,27,18.04,2.41
Pocillopora acuta,6/10/25,T0,heated,9,triploid,24,28,21.20,2.23
Pocillopora acuta,6/10/25,T0,ambient,8,triploid,23,29,14.59,1.57
Pocillopora acuta,6/10/25,T0,heated,9,triploid,30,30,7.68,0.81
Pocillopora acuta,6/10/25,T0,ambient,8,diploid,8,31,8.67,0.85
Pocillopora acuta,6/10/25,T0,ambient,12,triploid,24,32,11.06,1.00
Pocillopora acuta,6/10/25,T0,ambient,8,triploid,19,33,11.50,1.58
Pocillopora acuta,6/10/25,T0,heated,7,diploid,14,34,23.65,2.32
Pocillopora acuta,6/10/25,T0,ambient,12,diploid,8,35,15.41,1.54
Pocillopora acuta,6/10/25,T0,heated,11,triploid,20,36,34.55,4.81
Pocillopora acuta,6/10/25,T0,heated,11,diploid,6,37,21.10,2.67
Pocillopora acuta,6/10/25,T0,ambient,10,triploid,23,38,26.42,3.19
Pocillopora acuta,6/10/25,T0,ambient,10,triploid,19,39,12.16,1.52
Pocillopora acuta,6/10/25,T0,heated,9,diploid,11,40,31.44,2.98
Pocillopora acuta,6/10/25,T0,ambient,12,triploid,23,41,16.05,1.74
Pocillopora acuta,6/10/25,T0,heated,7,diploid,6,42,14.95,1.56
Pocillopora acuta,6/10/25,T0,ambient,12,diploid,15,43,20.38,2.42
Pocillopora acuta,6/10/25,T0,heated,9,diploid,8,44,12.89,1.28
Pocillopora acuta,6/10/25,T0,heated,7,diploid,8,45,9.78,0.89
Pocillopora acuta,6/10/25,T0,heated,7,diploid,13,46,15.68,2.00
Pocillopora acuta,6/10/25,T0,ambient,12,diploid,11,47,34.55,5.00
Pocillopora acuta,6/10/25,T0,heated,7,triploid,30,48,9.84,1.06
Pocillopora acuta,6/10/25,T0,heated,11,diploid,11,49,19.89,1.96
Pocillopora acuta,6/10/25,T0,ambient,10,triploid,24,50,15.79,1.60
Pocillopora acuta,6/10/25,T0,heated,9,triploid,19,51,11.92,1.43
Pocillopora acuta,6/10/25,T0,ambient,8,diploid,14,52,18.13,1.74
Pocillopora acuta,6/10/25,T0,ambient,8,triploid,21,53,25.74,3.26
Pocillopora acuta,6/10/25,T0,ambient,12,triploid,30,54,19.53,2.30
Pocillopora acuta,6/10/25,T0,heated,11,triploid,19,55,14.24,1.51
Pocillopora acuta,6/10/25,T0,ambient,10,triploid,30,56,7.41,0.80
Pocillopora acuta,6/10/25,T0,heated,7,triploid,21,57,27.51,3.23
Pocillopora acuta,6/10/25,T0,ambient,10,diploid,15,58,17.87,1.90
Pocillopora acuta,6/10/25,T0,heated,11,triploid,24,59,27.78,3.41
Pocillopora acuta,6/10/25,T0,ambient,10,diploid,11,60,20.61,1.95
Pocillopora acuta,6/10/25,T0,heated,11,triploid,30,61,15.56,1.77
Pocillopora acuta,6/10/25,T0,heated,7,triploid,24,62,32.46,6.52
Pocillopora acuta,6/10/25,T0,heated,7,diploid,14,63,16.38,1.55
Pocillopora acuta,6/10/25,T0,heated,7,triploid,19,64,16.31,1.69
Pocillopora acuta,6/10/25,T0,ambient,12,triploid,20,65,29.10,3.36
Pocillopora acuta,6/10/25,T0,heated,11,diploid,14,66,30.71,2.95
Pocillopora acuta,6/10/25,T0,ambient,10,diploid,13,67,16.77,1.79
Pocillopora acuta,6/10/25,T0,ambient,10,triploid,20,68,16.77,2.20
Pocillopora acuta,6/10/25,T0,heated,7,diploid,15,69,28.92,3.45
Pocillopora acuta,6/10/25,T0,ambient,10,diploid,14,70,27.63,2.80
Pocillopora acuta,6/10/25,T0,heated,7,diploid,11,71,17.00,2.25
Pocillopora acuta,6/10/25,T0,heated,9,diploid,15,72,28.16,3.33
Pocillopora acuta,6/10/25,T0,ambient,12,diploid,14,902,7.64,0.66
Pocillopora acuta,7/15/25,T0,heated,7,triploid,23,J4-2,25.51,3.16
Pocillopora acuta,7/15/25,T1,ambient,8,diploid,11,1,14.73,1.75
Pocillopora acuta,7/15/25,T1,heated,9,diploid,13,2,14.48,1.47
Pocillopora acuta,7/15/25,T1,heated,11,diploid,15,3,12.28,1.47
Pocillopora acuta,7/15/25,T1,heated,9,triploid,20,4,19.14,2.76
Pocillopora acuta,7/15/25,T1,heated,11,diploid,13,5,20.66,2.14
Pocillopora acuta,7/15/25,T1,ambient,12,diploid,6,6,16.95,1.97
Pocillopora acuta,7/15/25,T1,heated,7,triploid,23,7,14.09,1.43
Pocillopora acuta,7/15/25,T1,ambient,8,diploid,6,8,10.35,1.09
Pocillopora acuta,7/15/25,T1,ambient,12,triploid,21,9,28.71,3.95
Pocillopora acuta,7/15/25,T1,heated,7,triploid,20,10,27.14,3.09
Pocillopora acuta,7/15/25,T1,heated,11,diploid,8,11,17.42,1.82
Pocillopora acuta,7/15/25,T1,ambient,12,diploid,13,12,12.85,1.39
Pocillopora acuta,7/15/25,T1,ambient,12,triploid,19,13,19.19,2.16
Pocillopora acuta,7/15/25,T1,ambient,10,diploid,8,14,14.75,1.20
Pocillopora acuta,7/15/25,T1,heated,11,triploid,23,15,23.47,2.48
Pocillopora acuta,7/15/25,T1,ambient,8,triploid,24,16,12.88,1.27
Pocillopora acuta,7/15/25,T1,heated,9,triploid,21,17,19.95,2.31
Pocillopora acuta,7/15/25,T1,ambient,8,diploid,13,18,14.77,1.61
Pocillopora acuta,7/15/25,T1,ambient,8,diploid,15,19,7.44,0.76
Pocillopora acuta,7/15/25,T1,heated,9,triploid,23,20,14.09,1.62
Pocillopora acuta,7/15/25,T1,heated,9,diploid,14,21,20.74,1.57
Pocillopora acuta,7/15/25,T1,ambient,8,triploid,20,22,18.64,2.37
Pocillopora acuta,7/15/25,T1,heated,9,diploid,6,23,7.84,0.93
Pocillopora acuta,7/15/25,T1,ambient,8,triploid,30,24,13.91,1.61
Pocillopora acuta,7/15/25,T1,heated,11,triploid,21,25,40.22,4.99
Pocillopora acuta,7/15/25,T1,ambient,10,diploid,6,26,9.65,1.00
Pocillopora acuta,7/15/25,T1,ambient,10,triploid,21,27,20.07,2.63
Pocillopora acuta,7/15/25,T1,heated,9,triploid,24,28,28.74,2.87
Pocillopora acuta,7/15/25,T1,ambient,8,triploid,23,29,16.68,1.82
Pocillopora acuta,7/15/25,T1,heated,9,triploid,30,30,8.83,0.82
Pocillopora acuta,7/15/25,T1,ambient,8,diploid,8,31,11.15,0.86
Pocillopora acuta,7/15/25,T1,ambient,12,triploid,24,32,10.97,1.05
Pocillopora acuta,7/15/25,T1,ambient,8,triploid,19,33,13.70,1.88
Pocillopora acuta,7/15/25,T1,heated,7,diploid,14,34,26.07,2.23
Pocillopora acuta,7/15/25,T1,ambient,12,diploid,8,35,20.00,1.60
Pocillopora acuta,7/15/25,T1,heated,11,triploid,20,36,29.78,3.54
Pocillopora acuta,7/15/25,T1,heated,11,diploid,6,37,21.51,2.53
Pocillopora acuta,7/15/25,T1,ambient,10,triploid,23,38,29.92,3.64
Pocillopora acuta,7/15/25,T1,ambient,10,triploid,19,39,14.04,1.62
Pocillopora acuta,7/15/25,T1,heated,9,diploid,11,40,32.89,2.91
Pocillopora acuta,7/15/25,T1,ambient,12,triploid,23,41,15.27,1.61
Pocillopora acuta,7/15/25,T1,heated,7,diploid,6,42,23.86,2.69
Pocillopora acuta,7/15/25,T1,ambient,12,diploid,15,43,20.37,2.51
Pocillopora acuta,7/15/25,T1,heated,9,diploid,8,44,15.03,1.29
Pocillopora acuta,7/15/25,T1,heated,7,diploid,8,45,12.10,0.89
Pocillopora acuta,7/15/25,T1,heated,7,diploid,13,46,15.80,1.66
Pocillopora acuta,7/15/25,T1,ambient,12,diploid,11,47,21.12,2.37
Pocillopora acuta,7/15/25,T1,heated,7,triploid,30,48,11.17,0.96
Pocillopora acuta,7/15/25,T1,heated,11,diploid,11,49,23.76,2.43
Pocillopora acuta,7/15/25,T1,ambient,10,triploid,24,50,26.02,3.13
Pocillopora acuta,7/15/25,T1,heated,9,triploid,19,51,15.74,2.05
Pocillopora acuta,7/15/25,T1,ambient,8,diploid,14,52,19.08,1.82
Pocillopora acuta,7/15/25,T1,ambient,8,triploid,21,53,33.18,4.15
Pocillopora acuta,7/15/25,T1,ambient,12,triploid,30,54,29.72,4.15
Pocillopora acuta,7/15/25,T1,heated,11,triploid,19,55,15.42,1.53
Pocillopora acuta,7/15/25,T1,ambient,10,triploid,30,56,11.64,1.23
Pocillopora acuta,7/15/25,T1,heated,7,triploid,21,57,30.78,3.31
Pocillopora acuta,7/15/25,T1,ambient,10,diploid,15,58,20.21,2.27
Pocillopora acuta,7/15/25,T1,heated,11,triploid,24,59,30.87,3.60
Pocillopora acuta,7/15/25,T1,ambient,10,diploid,11,60,13.00,0.96
Pocillopora acuta,7/15/25,T1,heated,11,triploid,30,61,20.48,2.29
Pocillopora acuta,7/15/25,T1,heated,7,triploid,24,62,12.61,1.55
Pocillopora acuta,7/15/25,T1,heated,7,diploid,14,63,18.90,1.83
Pocillopora acuta,7/15/25,T1,heated,7,triploid,19,64,17.88,2.16
Pocillopora acuta,7/15/25,T1,ambient,12,triploid,20,65,31.19,3.52
Pocillopora acuta,7/15/25,T1,heated,11,diploid,14,66,31.22,2.94
Pocillopora acuta,7/15/25,T1,ambient,10,diploid,13,67,20.73,1.94
Pocillopora acuta,7/15/25,T1,ambient,10,triploid,20,68,16.17,2.00
Pocillopora acuta,7/15/25,T1,heated,7,diploid,15,69,33.14,3.85
Pocillopora acuta,7/15/25,T1,ambient,10,diploid,14,70,28.81,3.04
Pocillopora acuta,7/15/25,T1,heated,7,diploid,11,71,14.38,1.64
Pocillopora acuta,7/15/25,T1,heated,9,diploid,15,72,30.58,3.41
Pocillopora acuta,7/15/25,T1,ambient,12,diploid,14,902,8.41,0.77
Pocillopora acuta,7/15/25,,heated,7,triploid,23,,,
