plug.ID,Count ID,Sample name,Date & Time,Type,Total concentration,Total cells counted,Cube 1 name,Fluores.cell.ml,Cube 1 (%),Cube 1 cells counted
1,1993,1_1,2025-09-06T04:25:15.9610997+08:00,FL,946951,362,QDLP,384535,41,147
1,1994,1_2,2025-09-06T04:27:12.0756114+08:00,FL,923408,353,QDLP,374072,41,143
1,1995,1_3,2025-09-06T04:30:20.8044889+08:00,FL,782150,299,QDLP,397615,51,152
2,1878,02_1,2025-07-25T05:23:08.8292488+08:00,FL,439469,168,QDLP,18311,4,7
2,1879,02_2,2025-07-25T05:25:22.6082937+08:00,FL,559800,214,QDLP,2616,0,1
2,1880,02_3,2025-07-25T05:27:57.4086378+08:00,FL,400231,153,QDLP,49702,12,19
3,3450,3_r1,2025-12-18T07:23:41.4141848+08:00,FL,661820,253,QDLP,138642,21,53
3,3451,3_r2,2025-12-18T07:25:47.9460214+08:00,FL,711521,272,QDLP,138642,19,53
3,3452,3_r3,2025-12-18T07:27:43.1350126+08:00,FL,724601,277,QDLP,167417,23,64
4,1971,4_1,2025-09-06T03:41:52.7913414+08:00,FL,627813,240,QDLP,34007,5,13
4,1973,4_2,2025-09-06T03:45:46.1983997+08:00,FL,583343,223,QDLP,36622,6,14
4,1975,4_3,2025-09-06T03:49:10.8950999+08:00,FL,300827,115,QDLP,34007,11,13
5,3446,5_r1,2025-12-18T07:15:51.8524894+08:00,FL,520562,199,QDLP,102020,20,39
5,3448,5_r2,2025-12-18T07:18:41.9882416+08:00,FL,831852,318,QDLP,146490,18,56
5,3449,5_r3,2025-12-18T07:21:01.9302191+08:00,FL,719369,275,QDLP,172649,24,66
6,2037,6_1,2025-09-17T04:14:21.8666530+08:00,FL,719369,275,QDLP,334834,47,128
6,2038,6_2,2025-09-17T04:16:19.3614178+08:00,FL,497019,190,QDLP,253741,51,97
6,2039,6_3,2025-09-17T04:18:01.8697854+08:00,FL,729833,279,QDLP,353145,48,135
6,2040,6_2,2025-09-17T04:19:32.2407076+08:00,FL,701058,268,QDLP,253741,36,97
8,1895,08_1,2025-07-25T05:57:49.7348906+08:00,FL,960031,367,QDLP,366224,38,140
8,1896,08_2,2025-07-25T06:00:33.3001113+08:00,FL,721985,276,QDLP,350529,49,134
8,1897,08_3,2025-07-25T06:02:44.7759294+08:00,FL,701058,268,QDLP,410694,59,157
9,2041,9_1,2025-09-17T04:22:40.5635307+08:00,FL,408078,156,QDLP,193576,47,74
9,2042,9_2,2025-09-17T04:24:37.9273489+08:00,FL,672283,257,QDLP,264205,39,101
9,2043,9_3,2025-09-17T04:26:43.7663010+08:00,FL,609502,233,QDLP,224966,37,86
10,1928,10_1,2025-07-25T07:00:13.7690468+08:00,FL,303443,116,QDLP,91556,30,35
10,1929,10_2,2025-07-25T07:03:03.3949552+08:00,FL,784766,300,QDLP,68013,9,26
10,1930,10_3,2025-07-25T07:05:24.0930335+08:00,FL,640892,245,QDLP,88940,14,34
11,1961,11_1,2025-07-25T08:08:01.8994103+08:00,FL,198807,76,QDLP,26159,13,10
11,1962,11_2,2025-07-25T08:10:57.4573189+08:00,FL,272052,104,QDLP,18311,7,7
11,1963,11_3,2025-07-25T08:12:31.8622857+08:00,FL,272052,104,QDLP,23543,9,9
11,3410,11_r1,2025-12-18T04:32:43.8699908+08:00,FL,865859,331,QDLP,44470,5,17
11,3411,11_r2,2025-12-18T04:35:07.5240522+08:00,FL,714137,273,QDLP,57550,8,22
12,3753,12_r1,2026-03-05T06:12:11.0467560+08:00,FL,376688,144,QDLP,198807,53,76
12,3754,12_r2,2026-03-05T06:13:48.4122563+08:00,FL,329602,126,QDLP,104636,32,40
12,3756,12_r3,2026-03-05T06:16:09.4609041+08:00,FL,298211,114,QDLP,149106,50,57
13,3385,13_r1,2025-12-18T03:28:07.5842563+08:00,FL,434237,166,QDLP,143874,33,55
13,3386,13_r2,2025-12-18T03:32:00.9015963+08:00,FL,504866,193,QDLP,146490,29,56
13,3387,13_r3,2025-12-18T03:35:23.7373074+08:00,FL,551952,211,QDLP,211887,38,81
14,3398,14_r1,2025-12-18T04:02:39.4943832+08:00,FL,429006,164,QDLP,170033,40,65
14,3399,14_r2,2025-12-18T04:04:40.7191190+08:00,FL,531025,203,QDLP,219735,41,84
14,3400,14_r3,2025-12-18T04:06:27.3801609+08:00,FL,536257,205,QDLP,219735,41,84
15,3472,15_r1,2025-12-18T08:08:19.4151890+08:00,FL,852779,326,QDLP,379304,44,145
15,3473,15_r2,2025-12-18T08:10:08.1588943+08:00,FL,980958,375,QDLP,198807,20,76
15,3474,15_r3,2025-12-18T08:12:11.5648704+08:00,FL,970494,371,QDLP,143874,15,55
15,3475,15_r1,2025-12-18T08:34:48.8602508+08:00,FL,871091,333,QDLP,115099,13,44
16,1987,16_1,2025-09-06T04:13:29.3627351+08:00,FL,554568,212,QDLP,279900,50,107
16,1988,16_2,2025-09-06T04:15:07.5956825+08:00,FL,596422,228,QDLP,355761,60,136
16,1989,16_3,2025-09-06T04:17:03.8259997+08:00,FL,483939,185,QDLP,245893,51,94
17,2020,17_1,2025-09-06T05:21:37.1576313+08:00,FL,436853,167,QDLP,73245,17,28
17,2021,17_2,2025-09-06T05:23:54.0357182+08:00,FL,452549,173,QDLP,57550,13,22
17,2024,17_3,2025-09-06T05:28:53.8038738+08:00,FL,376688,144,QDLP,20927,6,8
17,2031,17_4,2025-09-06T05:43:41.9573289+08:00,FL,311291,119,QDLP,31391,10,12
18,1999,18_1,2025-09-06T04:38:30.3263575+08:00,FL,499635,191,QDLP,303443,61,116
18,2000,18_2,2025-09-06T04:41:58.9823219+08:00,FL,585959,224,QDLP,342681,58,131
18,2001,18_3,2025-09-06T04:44:13.6142279+08:00,FL,674899,258,QDLP,324370,48,124
19,1996,19_1,2025-09-06T04:32:10.9095922+08:00,FL,470860,180,QDLP,156953,33,60
19,1997,19_2,2025-09-06T04:34:09.6384093+08:00,FL,512714,196,QDLP,122947,24,47
19,1998,19_3,2025-09-06T04:35:53.1164530+08:00,FL,554568,212,QDLP,146490,26,56
20,1891,20_1,2025-07-25T05:48:50.8977146+08:00,FL,394999,151,QDLP,18311,5,7
20,1892,20_2,2025-07-25T05:51:15.4210121+08:00,FL,308675,118,QDLP,34007,11,13
20,1893,20_3,2025-07-25T05:54:23.4019531+08:00,FL,473476,181,QDLP,52318,11,20
21,1902,21_1,2025-07-25T06:12:32.3752590+08:00,FL,379304,145,QDLP,104636,28,40
21,1903,21_2,2025-07-25T06:14:45.0171167+08:00,FL,468244,179,QDLP,104636,22,40
21,1904,21_3,2025-07-25T06:16:35.9151400+08:00,FL,455164,174,QDLP,96788,21,37
21,3440,21_r1,2025-12-18T07:02:00.4498845+08:00,FL,588575,225,QDLP,230198,39,88
21,3441,21_r2,2025-12-18T07:03:41.0429732+08:00,FL,528409,202,QDLP,196192,37,75
21,3442,21_r3,2025-12-18T07:06:42.9048454+08:00,FL,554568,212,QDLP,230198,42,88
22,1976,22_1,2025-09-06T03:51:22.9241933+08:00,FL,394999,151,QDLP,175264,44,67
22,1977,22_2,2025-09-06T03:53:58.9080262+08:00,FL,452549,173,QDLP,175264,39,67
22,1978,22_3,2025-09-06T03:55:56.5191955+08:00,FL,546721,209,QDLP,185728,34,71
22,1979,22_2r,2025-09-06T03:57:53.4052826+08:00,FL,643508,246,QDLP,240662,37,92
23,1953,23_1,2025-07-25T07:52:52.3970033+08:00,FL,282516,108,QDLP,28775,10,11
23,1955,23_2,2025-07-25T07:55:50.4174724+08:00,FL,410694,157,QDLP,60165,15,23
23,1957,23_3,2025-07-25T07:58:37.3502391+08:00,FL,334834,128,QDLP,36622,11,14
24,1958,24_1,2025-07-25T08:01:24.9781749+08:00,FL,821389,314,QDLP,473476,58,181
24,1959,24_2,2025-07-25T08:03:59.4179300+08:00,FL,923408,353,QDLP,570264,62,218
24,1960,24_3,2025-07-25T08:06:19.5616207+08:00,FL,745528,285,QDLP,334834,45,128
25,3416,25_r1,2025-12-18T04:48:52.3163004+08:00,FL,803078,307,QDLP,162185,20,62
25,3417,25_r2,2025-12-18T06:07:37.9441826+08:00,FL,494403,189,QDLP,154337,31,59
25,3418,25_r3,2025-12-18T06:09:22.9303703+08:00,FL,918177,351,QDLP,162185,18,62
26,1872,26_1,2025-07-25T05:10:18.4382032+08:00,FL,567648,217,QDLP,329602,58,126
26,1873,26_2,2025-07-25T05:12:30.8603042+08:00,FL,525793,201,QDLP,279900,53,107
26,1874,26_3,2025-07-25T05:14:20.4161858+08:00,FL,653972,250,QDLP,355761,54,136
27,1881,27_1,2025-07-25T05:30:34.1285366+08:00,FL,447317,171,QDLP,306059,68,117
27,1882,27_2,2025-07-25T05:32:24.5925884+08:00,FL,465628,178,QDLP,245893,53,94
27,1883,27_3,2025-07-25T05:34:06.3436401+08:00,FL,449933,172,QDLP,287748,64,110
28,2015,28_1,2025-09-06T05:12:50.4637649+08:00,FL,583343,223,QDLP,109867,19,42
28,2017,28_2,2025-09-06T05:16:18.4337011+08:00,FL,565032,216,QDLP,91556,16,35
28,2019,28_3,2025-09-06T05:19:45.0616874+08:00,FL,507482,194,QDLP,102020,20,39
29,1983,29_1,2025-09-06T04:07:00.5178456+08:00,FL,978342,374,QDLP,455164,47,174
29,1984,29_2,2025-09-06T04:09:16.9187915+08:00,FL,714137,273,QDLP,400231,56,153
29,1985,29_3,2025-09-06T04:10:55.9471318+08:00,FL,920792,352,QDLP,507482,55,194
30,1868,30_1,2025-07-25T05:02:13.8958889+08:00,FL,449933,172,QDLP,277284,62,106
30,1869,30_2,2025-07-25T05:04:46.9299272+08:00,FL,525793,201,QDLP,253741,48,97
30,1870,30_3,2025-07-25T05:06:34.5420467+08:00,FL,355761,136,QDLP,180496,51,69
30,2032,30_4,2025-09-06T05:54:21.5074791+08:00,FL,559800,214,QDLP,248509,44,95
30,2033,30_5,2025-09-06T06:00:07.0460245+08:00,FL,426390,163,QDLP,238046,56,91
31,1990,31_1,2025-09-06T04:19:02.7758243+08:00,FL,687978,263,QDLP,408078,59,156
31,1991,31_2,2025-09-06T04:21:26.7046125+08:00,FL,779535,298,QDLP,436853,56,167
31,1992,31_3,2025-09-06T04:23:07.6925840+08:00,FL,721985,276,QDLP,512714,71,196
32,3463,32_r1,2025-12-18T07:51:24.4465483+08:00,FL,447317,171,QDLP,277284,62,106
32,3464,32_r2,2025-12-18T07:52:50.7496812+08:00,FL,609502,233,QDLP,193576,32,74
32,3465,32_r3,2025-12-18T07:54:27.3585966+08:00,FL,612118,234,QDLP,272052,44,104
33,1980,33_1,2025-09-06T04:00:32.1541752+08:00,FL,1048971,401,QDLP,287748,27,110
33,1981,33_2,2025-09-06T04:02:26.7279092+08:00,FL,1033276,395,QDLP,334834,32,128
33,1982,33_3,2025-09-06T04:04:44.4060080+08:00,FL,850164,325,QDLP,423774,50,162
34,2006,34_1,2025-09-06T04:55:16.6872786+08:00,FL,742912,284,QDLP,266821,36,102
34,2007,34_2,2025-09-06T04:57:20.0940030+08:00,FL,737680,282,QDLP,313907,43,120
34,2008,34_3,2025-09-06T04:59:38.0880561+08:00,FL,810925,310,QDLP,266821,33,102
