coral.species,date,time.point,type,treatment,tank,ploidy,plug.ID,genotype,temp,salinity,wet.mass.g,total.days
Pocillopora acuta,6/3/25,T0,coral,ambient,8,diploid,1,11,26.924,31,5.1594,0
Pocillopora acuta,6/3/25,T0,coral,heated,9,diploid,2,13,26.276,31,4.816,0
Pocillopora acuta,6/3/25,T0,coral,heated,11,diploid,3,15,26.214,31,4.9593,0
Pocillopora acuta,6/3/25,T0,coral,heated,9,triploid,4,20,26.189,31,5.0469,0
Pocillopora acuta,6/3/25,T0,coral,heated,11,diploid,5,13,26.165,31,5.3643,0
Pocillopora acuta,6/3/25,T0,coral,ambient,12,diploid,6,6,26.392,31,5.4961,0
Pocillopora acuta,6/3/25,T0,coral,heated,7,triploid,7,23,26.685,31,4.6303,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,diploid,8,6,26.766,31,4.3066,0
Pocillopora acuta,6/3/25,T0,coral,ambient,12,triploid,9,21,26.514,31,7.1347,0
Pocillopora acuta,6/3/25,T0,coral,heated,7,triploid,10,20,26.663,31,6.3999,0
Pocillopora acuta,6/3/25,T0,coral,heated,11,diploid,11,8,26.102,31,5.6129,0
Pocillopora acuta,6/3/25,T0,coral,ambient,12,diploid,12,13,26.402,31,4.9059,0
Pocillopora acuta,6/3/25,T0,coral,ambient,12,triploid,13,19,26.499,31,6.0747,0
Pocillopora acuta,6/3/25,T0,coral,ambient,10,diploid,14,8,26.573,31,4.4616,0
Pocillopora acuta,6/3/25,T0,coral,heated,11,triploid,15,23,26.268,31,5.6399,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,triploid,16,24,26.707,31,5.1092,0
Pocillopora acuta,6/3/25,T0,coral,heated,9,triploid,17,21,26.237,31,4.8345,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,diploid,18,13,26.817,31,4.5165,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,diploid,19,15,26.771,31,4.3102,0
Pocillopora acuta,6/3/25,T0,coral,heated,9,triploid,20,23,26.326,31,4.6543,0
Pocillopora acuta,6/3/25,T0,coral,heated,9,diploid,21,14,26.289,31,5.015,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,triploid,22,20,26.848,31,5.5542,0
Pocillopora acuta,6/3/25,T0,coral,heated,9,diploid,23,6,26.165,31,4.7809,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,triploid,24,30,26.872,31,4.9677,0
Pocillopora acuta,6/3/25,T0,coral,heated,11,triploid,25,21,26.245,31,8.1232,0
Pocillopora acuta,6/3/25,T0,coral,ambient,10,diploid,26,6,26.381,31,4.4169,0
Pocillopora acuta,6/3/25,T0,coral,ambient,10,triploid,27,21,26.466,31,6.3491,0
Pocillopora acuta,6/3/25,T0,coral,heated,9,triploid,28,24,26.324,31,5.3785,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,triploid,29,23,26.767,31,4.887,0
Pocillopora acuta,6/3/25,T0,coral,heated,9,triploid,30,30,26.212,31,4.1743,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,diploid,31,8,26.742,31,4.1142,0
Pocillopora acuta,6/3/25,T0,coral,ambient,12,triploid,32,24,26.313,31,4.4581,0
Pocillopora acuta,6/3/25,T0,coral,ambient,8,triploid,33,19,26.88,31,5.4081,0
Pocillopora acuta,6/3/25,T0,coral,heated,7,diploid,34,14,26.663,31,4.936,0
