coral.species,treatment,ploidy,genotype,plug.ID,fraction,sample.mass.mg,ug.N,d15N,ug.C,d13C,C.N.mol,d15N.h.s,d13C.h.s
Pocillopora acuta,ambient,diploid,11,1,host,1.122,39.2,4.7,173.1,-17.2,5.153821727,-0.4,0.00
Pocillopora acuta,heated,diploid,13,2,host,0.777,35.4,5.1,153.2,-17.4,5.050959595,0.2,0.00
Pocillopora acuta,heated,diploid,15,3,host,0.7903,36.1,5.3,159.7,-17.5,5.163166204,2.1,0.1
Pocillopora acuta,heated,triploid,20,4,host,0.7095,28.9,4.9,126.1,-17.7,5.092553908,-0.8,0.2
Pocillopora acuta,heated,diploid,13,5,host,0.7265,34.9,5.2,161.3,-17.5,5.394203563,1.6,-0.1
Pocillopora acuta,ambient,diploid,6,6,host,0.7342,29.6,4.9,135.8,-18.1,5.354592804,0.3,-0.3
Pocillopora acuta,ambient,diploid,6,8,host,0.629,30.6,5.2,130.9,-18.3,4.992713107,-0.4,-0.40
Pocillopora acuta,ambient,triploid,21,9,host,0.7135,28.7,4.6,141.2,-18.1,5.742105812,0.4,-0.3
Pocillopora acuta,heated,triploid,20,10,host,1.485,48.5,5,203,-17.5,4.885091363,-0.6,0.30
Pocillopora acuta,heated,diploid,8,11,host,0.7554,39.9,5.6,181.2,-16.4,5.300339508,0.4,0.3
Pocillopora acuta,ambient,diploid,13,12,host,0.5592,26.8,4.9,131.2,-18.8,5.713699978,0.3,-0.4
Pocillopora acuta,ambient,triploid,19,13,host,0.6017,29,4.8,149.8,-17.7,6.028818461,0.3,0.1
Pocillopora acuta,ambient,diploid,8,14,host,0.6481,29.4,5.3,146.9,-17.2,5.831668875,0.7,-0.8
Pocillopora acuta,heated,triploid,23,15,host,1.0017,29.6,5.1,149.5,-16.5,5.894783684,1,0.6
Pocillopora acuta,ambient,triploid,24,16,host,0.641,27.9,5,118.9,-16.6,4.973888466,-0.6,-0.40
Pocillopora acuta,heated,triploid,21,17,host,0.803,32,5.2,141.3,-17.4,5.153598424,0.3,0.10
Pocillopora acuta,ambient,diploid,13,18,host,0.724,32,4.7,144.5,-18.5,5.270311198,-0.9,-0.7
Pocillopora acuta,ambient,diploid,15,19,host,0.426,18.6,5,84.5,-17.5,5.30227387,-0.2,0.1
Pocillopora acuta,heated,triploid,23,20,host,0.806,33.4,5,139.9,-16.5,4.888657806,-0.2,0.20
Pocillopora acuta,heated,diploid,14,21,host,0.737,32.3,5,137.5,-17.3,4.968423039,0.0,0.50
Pocillopora acuta,ambient,triploid,20,22,host,0.596,21.4,4.8,91.4,-18.1,4.984835298,-0.8,-0.20
Pocillopora acuta,heated,diploid,6,23,host,0.6192,27.4,4.9,115.4,-18.3,4.915567194,-0.4,-0.1
Pocillopora acuta,ambient,triploid,30,24,host,0.806,30.5,5.8,134.5,-17.5,5.146841998,0.6,0
