"","plug.ID","genotype","temp","salinity","coral.species","type","treatment","tank","ploidy","wet.mass.g","sw_dens","skel_dens","dry.mass.g","end.dry.mass.g","total.days","growth","growth.corrected.mg.d"
"1","1",11,26.924,31,"Pocillopora acuta","coral","ambient",8,"diploid",5.1594,1.01973210977649,2.93,7.9135717442391,8.35384987513889,42,0.440278130899789,9.82481549761402
"2","2",13,26.276,31,"Pocillopora acuta","coral","heated",9,"diploid",4.816,1.01993386586439,2.93,7.38763948944931,7.85468627347339,42,0.467046784024086,10.4621643815258
"3","3",15,26.214,31,"Pocillopora acuta","coral","heated",11,"diploid",4.9593,1.01995299876098,2.93,7.60753478347608,7.80877631021856,42,0.201241526742479,4.13346777958284
"4","4",20,26.189,31,"Pocillopora acuta","coral","heated",9,"triploid",5.0469,1.01996070516205,2.93,7.74194386469654,7.98136843726149,42,0.239424572564952,5.04258791821313
"5","5",13,26.165,31,"Pocillopora acuta","coral","heated",11,"diploid",5.3643,1.0199680987213,2.93,8.22886727152451,8.65930289377628,42,0.430435622251773,9.59047005361364
"6","6",6,26.392,31,"Pocillopora acuta","coral","ambient",12,"diploid",5.4961,1.01989798844298,2.93,8.43073977335545,8.79210546642525,42,0.361365693069796,7.94594793023325
"7","7",23,26.685,31,"Pocillopora acuta","coral","heated",7,"triploid",4.6303,1.01980690156483,2.93,7.10230762068711,7.21504047205021,42,0.112732851363102,2.02611836578814
"8","8",6,26.766,31,"Pocillopora acuta","coral","ambient",8,"diploid",4.3066,1.01978160317466,2.93,6.60570436394647,6.90680127177839,42,0.301096907831918,6.51097685314091
"9","9",21,26.514,31,"Pocillopora acuta","coral","ambient",12,"triploid",7.1347,1.01986014241698,2.93,10.9440525608693,11.5113620398763,42,0.567309479007053,12.8493714049298
"10","10",20,26.663,31,"Pocillopora acuta","coral","heated",7,"triploid",6.3999,1.01981376396471,2.93,9.81669045994194,10.3787983652187,42,0.562107905276736,12.7255244113509
"11","11",8,26.102,31,"Pocillopora acuta","coral","heated",11,"diploid",5.6129,1.01998748542937,2.93,8.61030850559479,8.89364854917502,42,0.28334004358023,6.08819437095786
"12","12",13,26.402,31,"Pocillopora acuta","coral","ambient",12,"diploid",4.9059,1.01989489066089,2.93,7.52539058176408,7.94742546815937,42,0.422034886395293,9.39045253322127
"13","13",19,26.499,31,"Pocillopora acuta","coral","ambient",12,"triploid",6.0747,1.01986480184926,2.93,9.31812105092437,9.66728025261641,42,0.349159201692034,7.65531718314367
"14","14",8,26.573,31,"Pocillopora acuta","coral","ambient",10,"diploid",4.4616,1.01984179837848,2.93,6.84366770715788,7.37791519668145,42,0.534247489523574,12.0621811791327
"15","15",23,26.268,31,"Pocillopora acuta","coral","heated",11,"triploid",5.6399,1.0199363363082,2.93,8.65149539992841,9.03105272709238,42,0.379557327163973,8.37908207533268
"16","16",24,26.707,31,"Pocillopora acuta","coral","ambient",8,"triploid",5.1092,1.01980003541837,2.93,7.83685283089128,8.27051647434774,42,0.433663643456456,9.6673277013442
"17","17",21,26.237,31,"Pocillopora acuta","coral","heated",9,"triploid",4.8345,1.01994590456856,2.93,7.41606482972431,7.9917342264957,42,0.575669396771387,13.0484170659854
"18","18",13,26.817,31,"Pocillopora acuta","coral","ambient",8,"diploid",4.5165,1.01976564853066,2.93,6.92760288276723,7.55392825147099,42,0.626325368703761,14.2545116358038
"19","19",15,26.771,31,"Pocillopora acuta","coral","ambient",8,"diploid",4.3102,1.01978003988274,2.93,6.61122083512559,6.78327067419494,42,0.172049839069357,3.43842759688944
"20","20",23,26.326,31,"Pocillopora acuta","coral","heated",9,"triploid",4.6543,1.01991841429931,2.93,7.1395374428456,7.53717129895207,42,0.397633856106467,8.80947562158256
"21","21",14,26.289,31,"Pocillopora acuta","coral","heated",9,"diploid",5.015,1.01992985033007,2.93,7.6928849982495,8.1121305806593,42,0.419245582409801,9.3240405335667
"22","22",20,26.848,31,"Pocillopora acuta","coral","ambient",8,"triploid",5.5542,1.01975594078969,2.93,8.51922869307471,8.91373133129565,42,0.394502638220942,8.73492281478433
"23","23",6,26.165,31,"Pocillopora acuta","coral","heated",9,"diploid",4.7809,1.0199680987213,2.93,7.33392829230869,7.57545807875811,42,0.24152978644942,5.09271205831953
"24","24",30,26.872,31,"Pocillopora acuta","coral","ambient",8,"triploid",4.9677,1.01974842002262,2.93,7.61960421997001,7.87318264168055,42,0.253578421710545,5.37958432644154
"25","25",21,26.245,31,"Pocillopora acuta","coral","heated",11,"triploid",8.1232,1.01994343605692,2.93,12.4608749548578,13.0851502907155,42,0.624275335857686,14.2057013299449
"26","26",6,26.381,31,"Pocillopora acuta","coral","ambient",10,"diploid",4.4169,1.01990139510526,2.93,6.7753135711615,7.00435154357748,42,0.229037972415982,4.79528791466625
