"","plug.ID","blastate.ml","symb.cells.ml","coral.species","date","time.point","treatment","tank","ploidy","genotype","surface.area.cm2","volume.cm3","symb.dens"
"1","1",10.5,385407.333333333,"Pocillopora acuta","7/15/25","T1","ambient",8,"diploid",11,14.73,1.75,274730
"2","10",12,82836.3333333333,"Pocillopora acuta","7/15/25","T1","heated",7,"triploid",20,27.14,3.09,36626
"3","11",15,34006.6,"Pocillopora acuta","7/15/25","T1","heated",11,"diploid",8,17.42,1.82,29282
"4","12",20,150849.666666667,"Pocillopora acuta","7/15/25","T1","ambient",12,"diploid",13,12.85,1.39,234785
"5","13",37.5,167417,"Pocillopora acuta","7/15/25","T1","ambient",12,"triploid",19,19.19,2.16,327157
"6","14",20,203167.666666667,"Pocillopora acuta","7/15/25","T1","ambient",10,"diploid",8,14.75,1.2,275482
"7","15",20,209271,"Pocillopora acuta","7/15/25","T1","heated",11,"triploid",23,23.47,2.48,178331
"8","16",13,293851.333333333,"Pocillopora acuta","7/15/25","T1","ambient",8,"triploid",24,12.88,1.27,296589
"9","17",20,45778.25,"Pocillopora acuta","7/15/25","T1","heated",9,"triploid",21,19.95,2.31,45893
"10","18",12.5,323498,"Pocillopora acuta","7/15/25","T1","ambient",8,"diploid",13,14.77,1.61,273780
"11","19",15.5,142130,"Pocillopora acuta","7/15/25","T1","ambient",8,"diploid",15,7.44,0.76,296104
"12","2",10.5,23543,"Pocillopora acuta","7/15/25","T1","heated",9,"diploid",13,14.48,1.47,17072
"13","20",11,34878.6666666667,"Pocillopora acuta","7/15/25","T1","heated",9,"triploid",23,14.09,1.62,27230
"14","21",17.5,160441.333333333,"Pocillopora acuta","7/15/25","T1","heated",9,"diploid",14,20.74,1.57,135377
"15","22",27.5,194229.5,"Pocillopora acuta","7/15/25","T1","ambient",8,"triploid",20,18.64,2.37,286551
"16","23",8.5,41854,"Pocillopora acuta","7/15/25","T1","heated",9,"diploid",6,7.84,0.93,45377
"17","24",11.5,459524.666666667,"Pocillopora acuta","7/15/25","T1","ambient",8,"triploid",30,13.91,1.61,379909
"18","25",40,159569,"Pocillopora acuta","7/15/25","T1","heated",11,"triploid",21,40.22,4.99,158696
"19","26",11.5,321754.333333333,"Pocillopora acuta","7/15/25","T1","ambient",10,"diploid",6,9.65,1,383438
"20","27",20,279900,"Pocillopora acuta","7/15/25","T1","ambient",10,"triploid",21,20.07,2.63,278924
"21","28",17.5,101147.666666667,"Pocillopora acuta","7/15/25","T1","heated",9,"triploid",24,28.74,2.87,61590
"22","29",15,454292.333333333,"Pocillopora acuta","7/15/25","T1","ambient",8,"triploid",23,16.68,1.82,408536
"23","3",25,148233.666666667,"Pocillopora acuta","7/15/25","T1","heated",11,"diploid",15,12.28,1.47,301779
"24","30",11,239615.2,"Pocillopora acuta","7/15/25","T1","heated",9,"triploid",30,8.83,0.82,298501
"25","31",11,452548.333333333,"Pocillopora acuta","7/15/25","T1","ambient",8,"diploid",8,11.15,0.86,446460
"26","32",20,247637.333333333,"Pocillopora acuta","7/15/25","T1","ambient",12,"triploid",24,10.97,1.05,451481
"27","33",13,348785.333333333,"Pocillopora acuta","7/15/25","T1","ambient",8,"triploid",19,13.7,1.88,330964
"28","34",13.5,282516.333333333,"Pocillopora acuta","7/15/25","T1","heated",7,"diploid",14,26.07,2.23,146297
"29","35",25,275540,"Pocillopora acuta","7/15/25","T1","ambient",12,"diploid",8,20,1.6,344425
"30","36",20,140386,"Pocillopora acuta","7/15/25","T1","heated",11,"triploid",20,29.78,3.54,94282
"31","37",20,140386,"Pocillopora acuta","7/15/25","T1","heated",11,"diploid",6,21.51,2.53,130531
"32","38",35,268564.666666667,"Pocillopora acuta","7/15/25","T1","ambient",10,"triploid",23,29.92,3.64,314163
"33","39",20,125562.666666667,"Pocillopora acuta","7/15/25","T1","ambient",10,"triploid",19,14.04,1.62,178864
"34","4",13,34878.6666666667,"Pocillopora acuta","7/15/25","T1","heated",9,"triploid",20,19.14,2.76,23690
"35","40",22.5,71501,"Pocillopora acuta","7/15/25","T1","heated",9,"diploid",11,32.89,2.91,48914
"36","41",25,207963.5,"Pocillopora acuta","7/15/25","T1","ambient",12,"triploid",23,15.27,1.61,340477
"37","42",8,184420,"Pocillopora acuta","7/15/25","T1","heated",7,"diploid",6,23.86,2.69,61834
"38","43",30,286875.666666667,"Pocillopora acuta","7/15/25","T1","ambient",12,"diploid",15,20.37,2.51,422497
"39","44",11.5,9591.66666666667,"Pocillopora acuta","7/15/25","T1","heated",9,"diploid",8,15.03,1.29,7339
"40","45",8,47086,"Pocillopora acuta","7/15/25","T1","heated",7,"diploid",8,12.1,0.89,31131
"41","46",12,66269.3333333333,"Pocillopora acuta","7/15/25","T1","heated",7,"diploid",13,15.8,1.66,50331
"42","47",25,249381.666666667,"Pocillopora acuta","7/15/25","T1","ambient",12,"diploid",11,21.12,2.37,295196
"43","48",9.5,42726.3333333333,"Pocillopora acuta","7/15/25","T1","heated",7,"triploid",30,11.17,0.96,36338
"44","49",25,139514,"Pocillopora acuta","7/15/25","T1","heated",11,"diploid",11,23.76,2.43,146795
"45","5",20,140386.333333333,"Pocillopora acuta","7/15/25","T1","heated",11,"diploid",13,20.66,2.14,135902
"46","50",25,299083,"Pocillopora acuta","7/15/25","T1","ambient",10,"triploid",24,26.02,3.13,287359
"47","51",13.5,22671,"Pocillopora acuta","7/15/25","T1","heated",9,"triploid",19,15.74,2.05,19445
"48","52",15,477835.333333333,"Pocillopora acuta","7/15/25","T1","ambient",8,"diploid",14,19.08,1.82,375657
"49","53",22,377559.666666667,"Pocillopora acuta","7/15/25","T1","ambient",8,"triploid",21,33.18,4.15,250341
"50","54",35,368840.333333333,"Pocillopora acuta","7/15/25","T1","ambient",12,"triploid",30,29.72,4.15,434368
"51","55",15,92428,"Pocillopora acuta","7/15/25","T1","heated",11,"triploid",19,15.42,1.53,89911
"52","56",20,192703.666666667,"Pocillopora acuta","7/15/25","T1","ambient",10,"triploid",30,11.64,1.23,331106
"53","57",18,118587,"Pocillopora acuta","7/15/25","T1","heated",7,"triploid",21,30.78,3.31,69349
"54","58",25,405462.333333333,"Pocillopora acuta","7/15/25","T1","ambient",10,"diploid",15,20.21,2.27,501562
"55","59",20,191831.666666667,"Pocillopora acuta","7/15/25","T1","heated",11,"triploid",24,30.87,3.6,124284
"56","6",20,298865.25,"Pocillopora acuta","7/15/25","T1","ambient",12,"diploid",6,16.95,1.97,352643
"58","61",15,83708.3333333333,"Pocillopora acuta","7/15/25","T1","heated",11,"triploid",30,20.48,2.29,61310
"59","62",8,69757,"Pocillopora acuta","7/15/25","T1","heated",7,"triploid",24,12.61,1.55,44255
"60","63",10,146489.666666667,"Pocillopora acuta","7/15/25","T1","heated",7,"diploid",14,18.9,1.83,77508
"61","64",17.5,33134.6666666667,"Pocillopora acuta","7/15/25","T1","heated",7,"triploid",19,17.88,2.16,32430
"62","65",50,186600,"Pocillopora acuta","7/15/25","T1","ambient",12,"triploid",20,31.19,3.52,299134
"63","66",20,144746,"Pocillopora acuta","7/15/25","T1","heated",11,"diploid",14,31.22,2.94,92726
"64","67",25,276412.333333333,"Pocillopora acuta","7/15/25","T1","ambient",10,"diploid",13,20.73,1.94,333348
"65","68",20,190959.666666667,"Pocillopora acuta","7/15/25","T1","ambient",10,"triploid",20,16.17,2,236190
"66","69",17.5,238917.333333333,"Pocillopora acuta","7/15/25","T1","heated",7,"diploid",15,33.14,3.85,126163
"67","70",30,512714,"Pocillopora acuta","7/15/25","T1","ambient",10,"diploid",14,28.81,3.04,533892
"68","71",17.5,65397.3333333333,"Pocillopora acuta","7/15/25","T1","heated",7,"diploid",11,14.38,1.64,79586
"69","72",20,122074.666666667,"Pocillopora acuta","7/15/25","T1","heated",9,"diploid",15,30.58,3.41,79840
"70","8",9.5,375815.666666667,"Pocillopora acuta","7/15/25","T1","ambient",8,"diploid",6,10.35,1.09,344952
"71","9",35,227582.333333333,"Pocillopora acuta","7/15/25","T1","ambient",12,"triploid",21,28.71,3.95,277443
